"from_matched_field","to_matched_field","n_male","n_female"
"anthropology","archaeology",127,106
"anthropology","art history",3,9
"anthropology","biochemistry",2,1
"anthropology","chemistry",4,6
"anthropology","classics",2,3
"anthropology","communications",23,28
"anthropology","computer science",9,2
"anthropology","earth sciences",6,7
"anthropology","economics",24,18
"anthropology","education",69,110
"anthropology","engineering",7,12
"anthropology","english literature",8,12
"anthropology","evolutionary biology",8,13
"anthropology","history",74,74
"anthropology","linguistics",19,12
"anthropology","mathematics",5,3
"anthropology","middle eastern studies",3,4
"anthropology","molecular biology",0,3
"anthropology","music",3,0
"anthropology","neuroscience",3,4
"anthropology","philosophy",39,21
"anthropology","physics",8,1
"anthropology","political science",38,40
"anthropology","psychology",48,43
"anthropology","sociology",96,95
"anthropology","spanish literature",2,2
"anthropology","statistics",5,2
"archaeology","anthropology",97,80
"archaeology","art history",6,12
"archaeology","biochemistry",0,1
"archaeology","chemistry",5,0
"archaeology","classics",18,18
"archaeology","communications",2,5
"archaeology","computer science",8,4
"archaeology","earth sciences",10,4
"archaeology","economics",2,4
"archaeology","education",10,25
"archaeology","engineering",5,4
"archaeology","english literature",0,5
"archaeology","evolutionary biology",0,1
"archaeology","history",105,82
"archaeology","linguistics",3,0
"archaeology","mathematics",1,1
"archaeology","middle eastern studies",1,1
"archaeology","music",0,1
"archaeology","neuroscience",1,0
"archaeology","philosophy",5,3
"archaeology","physics",4,3
"archaeology","political science",2,2
"archaeology","psychology",1,0
"archaeology","sociology",2,0
"art history","anthropology",2,16
"art history","archaeology",6,17
"art history","classics",5,3
"art history","communications",8,23
"art history","comparative literature",0,2
"art history","computer science",1,3
"art history","earth sciences",0,4
"art history","economics",2,4
"art history","education",24,36
"art history","engineering",3,3
"art history","english literature",8,10
"art history","history",56,66
"art history","linguistics",3,1
"art history","mathematics",0,1
"art history","middle eastern studies",1,3
"art history","music",5,2
"art history","neuroscience",1,0
"art history","philosophy",15,10
"art history","political science",0,1
"art history","psychology",0,7
"art history","sociology",2,5
"art history","spanish literature",0,2
"art history","statistics",0,1
"astronomy","computer science",1,0
"astronomy","earth sciences",0,1
"astronomy","engineering",0,1
"astronomy","mathematics",2,1
"astronomy","neuroscience",1,0
"astronomy","physics",5,1
"biochemistry","anthropology",2,2
"biochemistry","archaeology",0,2
"biochemistry","art history",0,1
"biochemistry","chemistry",524,255
"biochemistry","communications",7,5
"biochemistry","computer science",94,32
"biochemistry","earth sciences",23,13
"biochemistry","economics",10,9
"biochemistry","education",46,34
"biochemistry","engineering",207,67
"biochemistry","english literature",1,0
"biochemistry","evolutionary biology",12,1
"biochemistry","history",2,0
"biochemistry","mathematics",16,6
"biochemistry","molecular biology",296,121
"biochemistry","neuroscience",111,77
