from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	12	19
anthropology	archaeology	3	5
anthropology	art history	5	3
anthropology	astronomy	23	29
anthropology	biochemistry	0	0
anthropology	chemistry	53	6
anthropology	classics	5	8
anthropology	communications	0	0
anthropology	comparative literature	12	11
anthropology	computer science	0	1
anthropology	earth sciences	1	15
anthropology	economics	2	32
anthropology	education	19	9
anthropology	engineering	68	30
anthropology	english literature	103	29
anthropology	evolutionary biology	104	4
anthropology	history	556	176
anthropology	linguistics	38	40
anthropology	mathematics	1	1
anthropology	middle eastern studies	3	5
anthropology	molecular biology	0	1
anthropology	music	0	4
anthropology	neuroscience	8	22
anthropology	philosophy	1	3
anthropology	physics	7	2
anthropology	political science	5	1
anthropology	psychology	8	16
anthropology	sociology	0	1
anthropology	spanish literature	1	1
anthropology	statistics	21	33
archaeology	anthropology	6	1
archaeology	archaeology	1	0
archaeology	art history	26	4
archaeology	astronomy	27	3
archaeology	biochemistry	4	0
archaeology	chemistry	547	23
archaeology	classics	211	2
archaeology	communications	6	1
archaeology	comparative literature	8	6
archaeology	computer science	39	3
archaeology	earth sciences	61	21
archaeology	economics	2	1
archaeology	education	0	0
archaeology	engineering	4	1
archaeology	english literature	97	5
archaeology	evolutionary biology	42	9
archaeology	history	419	22
archaeology	linguistics	2	0
archaeology	mathematics	16	4
archaeology	middle eastern studies	67	5
archaeology	molecular biology	1	0
archaeology	music	0	3
archaeology	neuroscience	33	3
archaeology	philosophy	2	0
archaeology	physics	17	6
archaeology	political science	5	13
archaeology	psychology	4	0
archaeology	sociology	25	7
archaeology	spanish literature	19	2
archaeology	statistics	15	4
art history	anthropology	3	7
art history	archaeology	67	26
art history	art history	43	26
art history	astronomy	2	7
art history	biochemistry	8	21
art history	chemistry	153	21
art history	classics	105	50
art history	communications	1	1
art history	comparative literature	0	2
art history	computer science	0	7
art history	earth sciences	7	2
art history	economics	39	20
art history	education	8	19
art history	engineering	41	5
art history	english literature	108	19
art history	evolutionary biology	13	16
art history	history	10	4
art history	linguistics	9	3
art history	mathematics	9	1
art history	middle eastern studies	5	2
art history	molecular biology	120	29
art history	music	30	24
art history	neuroscience	1	0
art history	philosophy	3	1
art history	physics	16	8
art history	political science	20	47
art history	psychology	6	11
art history	sociology	0	1
art history	spanish literature	3	3
art history	statistics	37	30
astronomy	anthropology	1	1
astronomy	archaeology	0	2
astronomy	art history	6	0
astronomy	astronomy	2	3
astronomy	biochemistry	18	0
astronomy	chemistry	33	1
astronomy	classics	63	18
astronomy	communications	13	6
astronomy	comparative literature	0	13
astronomy	computer science	9	1
astronomy	earth sciences	67	57
astronomy	economics	7	21
astronomy	education	44	10
astronomy	engineering	36	11
astronomy	english literature	260	4
astronomy	evolutionary biology	15	43
astronomy	history	198	27
astronomy	linguistics	41	11
astronomy	mathematics	17	3
astronomy	middle eastern studies	26	3
astronomy	molecular biology	24	14
astronomy	music	12	6
astronomy	neuroscience	26	1
astronomy	philosophy	0	0
astronomy	physics	194	20
astronomy	political science	1	13
astronomy	psychology	1	2
astronomy	sociology	1	0
astronomy	spanish literature	32	4
astronomy	statistics	2	0
biochemistry	anthropology	33	5
biochemistry	archaeology	48	58
biochemistry	art history	4	5
biochemistry	astronomy	0	0
biochemistry	biochemistry	22	11
biochemistry	chemistry	22	5
biochemistry	classics	297	47
biochemistry	communications	51	18
biochemistry	comparative literature	0	1
biochemistry	computer science	3	0
biochemistry	earth sciences	27	17
biochemistry	economics	0	0
biochemistry	education	7	36
biochemistry	engineering	67	101
biochemistry	english literature	16	20
