field	covariate
anthropology	4.616863274977594
archaeology	4.3294495313319565
art history	2.3724628202716684
astronomy	4.194996464291881
biochemistry	3.9806962429832415
chemistry	3.722243183029925
classics	4.590093610011019
communications	2.52129112211674
comparative literature	3.122843521420144
computer science	4.325568478725987
earth sciences	2.5035324280222304
economics	3.15244711777624
education	4.539742722330576
engineering	2.7428107009267633
english literature	4.64315394992059
evolutionary biology	4.424242788510865
history	4.245922907953924
linguistics	4.701049830055817
mathematics	3.182948175307405
middle eastern studies	3.8863241812710054
molecular biology	2.4887695942481356
music	2.9234396667380014
neuroscience	3.106701086630986
philosophy	2.7799331676273336
physics	3.593655065207365
political science	3.9038128431496144
psychology	4.063791899305455
sociology	4.220229683256155
spanish literature	3.828844816866486
statistics	4.973031228104693
