field	covariate
anthropology	2.7526407611510684
archaeology	4.670131834991407
art history	3.1886754955410614
astronomy	3.5737835487341867
biochemistry	2.098517501933314
chemistry	3.81579975210599
classics	2.695454780695271
communications	3.0340940625522994
comparative literature	4.2503784295761875
computer science	4.662548307194264
earth sciences	3.3239386570534464
economics	3.508342844062756
education	4.676821032136221
engineering	3.208249562962666
english literature	3.008988576031641
evolutionary biology	2.305321048706522
history	2.171443685396554
linguistics	4.308670838626406
mathematics	4.827621419937865
middle eastern studies	4.180614724706285
molecular biology	4.268310036004182
music	3.392974176335485
neuroscience	3.3324740555220225
philosophy	4.893705583064785
physics	3.3342113060026755
political science	3.3859909107158446
psychology	4.546870693512988
sociology	3.428230514444058
spanish literature	2.27800605991273
statistics	3.060509146028486
