field	covariate
anthropology	3.9227604719835942
archaeology	2.458261064843275
art history	2.839651046546824
astronomy	4.422396800446947
biochemistry	2.712990311781942
chemistry	3.143467494157872
classics	4.167074839310899
communications	4.537693193058219
comparative literature	2.4130712528975176
computer science	2.1280372823909546
earth sciences	2.738841964317361
economics	3.6314659100303124
education	2.4626140606053113
engineering	4.1730058326871715
english literature	3.6929063193189187
evolutionary biology	2.842725011067807
history	2.4106716596454687
linguistics	3.8911205437985927
mathematics	3.8773446245151373
middle eastern studies	2.258283298838587
molecular biology	2.8653896315153253
music	2.2686529806880094
neuroscience	3.569302269455793
philosophy	3.1427477127538737
physics	4.4253499763016855
political science	4.1606486097714726
psychology	2.0604939939110314
sociology	3.8697030096837706
spanish literature	3.61235460545004
statistics	2.0939453315600067
