field	covariate
anthropology	3.288348017445262
archaeology	4.395809326476483
art history	4.337925176691067
astronomy	4.196244360202323
biochemistry	4.223386211596878
chemistry	3.5577549484013247
classics	4.153143749411193
communications	3.629542206244192
comparative literature	2.803897230130856
computer science	2.9712549781411797
earth sciences	3.703017745133492
economics	2.147832914643774
education	4.982249181819979
engineering	3.1964115866272653
english literature	2.4139262251028435
evolutionary biology	4.646074908099012
history	4.174894785823128
linguistics	4.326958260764486
mathematics	2.4849901092998348
middle eastern studies	3.3206829994014715
molecular biology	2.3704353277333348
music	2.8977525036882015
neuroscience	3.0953491343733344
philosophy	2.808973060661282
physics	4.236339758853276
political science	3.6074225933534967
psychology	4.726192305448202
sociology	3.7394627367523405
spanish literature	2.896046062590584
statistics	4.148877786963469
