field	covariate
anthropology	4.300783475684135
archaeology	2.4470820537902274
art history	3.26953913698114
astronomy	2.6204946904632243
biochemistry	3.52043250198437
chemistry	2.6389282072866718
classics	2.4628024277714538
communications	2.1172682041049384
comparative literature	2.0795862954298627
computer science	3.7405799309720855
earth sciences	3.489145792753325
economics	4.227456559335404
education	3.9749203327557034
engineering	2.5065271804586597
english literature	2.979769274689473
evolutionary biology	3.2446469603387444
history	4.590069813314746
linguistics	3.380453791465567
mathematics	2.5351108044498
middle eastern studies	3.0891995363941245
molecular biology	3.0824538506589505
music	3.918818860583629
neuroscience	4.083938346071348
philosophy	4.086522268985098
physics	4.015949639588854
political science	4.189609646479365
psychology	3.6945710321157823
sociology	2.391465889278969
spanish literature	2.409935069059455
statistics	2.2549471794596356
