field	covariate
anthropology	3.1662329699865106
archaeology	4.387011188656537
art history	2.4120174820917146
astronomy	2.9302981182357377
biochemistry	4.7587296868191284
chemistry	2.9096271964475027
classics	4.158291754387359
communications	4.229250343958904
comparative literature	3.170673379448276
computer science	4.169685030578913
earth sciences	2.422803820363023
economics	4.2332071745090705
education	3.6893703502789803
engineering	2.9962740437796067
english literature	3.674864998734952
evolutionary biology	2.1079642990878003
history	3.513107807920229
linguistics	4.764001079840971
mathematics	2.952031097372987
middle eastern studies	4.172468121139467
molecular biology	4.132227099326692
music	2.577476769336683
neuroscience	4.511594033017339
philosophy	2.794573805701436
physics	2.5254373038416267
political science	2.292100761785723
psychology	3.6110466093471207
sociology	4.029549728097707
spanish literature	3.0000612616855937
statistics	3.723061295048114
