field	covariate
anthropology	3.656743641111766
archaeology	2.4171391763462764
art history	3.3346983080181603
astronomy	2.8745039015814706
biochemistry	4.478415411539775
chemistry	3.061031502478605
classics	3.5021444733993388
communications	3.335992509121464
comparative literature	4.715574110886857
computer science	3.027743820199445
earth sciences	2.4394146864822677
economics	2.1010055246509047
education	2.7828377841427514
engineering	3.231486503761847
english literature	2.2191364539996568
evolutionary biology	3.8262981585825036
history	2.5313209650983004
linguistics	3.934429636035916
mathematics	2.716944272429369
middle eastern studies	3.719495082924064
molecular biology	4.360093604366238
music	4.72565188888888
neuroscience	4.06248582836793
philosophy	4.162754985463963
physics	3.222018387764452
political science	3.4051162831468447
psychology	4.999667058600446
sociology	2.130930749441429
spanish literature	2.9775147039457757
statistics	3.9528988303490538
