field	covariate
anthropology	2.988902004251237
archaeology	4.187041730652533
art history	3.836672932449237
astronomy	3.873947034443236
biochemistry	2.2509606041241907
chemistry	3.1243011331475734
classics	3.934673177976897
communications	4.482537446318359
comparative literature	4.981302086116018
computer science	2.2242856982399997
earth sciences	4.6694287775191885
economics	2.650340122088101
education	2.3131897490706557
engineering	2.392215481478083
english literature	4.326898174962393
evolutionary biology	3.1476514738930703
history	3.6805864284153387
linguistics	3.435299986309749
mathematics	3.732018632886111
middle eastern studies	4.811949296000412
molecular biology	4.241067320144376
music	4.227391440939427
neuroscience	4.65119888030401
philosophy	3.0629423380890572
physics	4.482954415696146
political science	4.537654835822833
psychology	3.397744337937008
sociology	4.855004835876393
spanish literature	3.872674544961635
statistics	4.48821320557431
