field	covariate
anthropology	3.6604406588368086
archaeology	4.5209706426747935
art history	3.3828204416613814
astronomy	2.260157594411242
biochemistry	2.782149167155918
chemistry	3.7676628235395206
classics	3.451595488799715
communications	2.7747958613751713
comparative literature	3.7477537243916044
computer science	2.412369149642845
earth sciences	4.963300106914547
economics	3.63269506265025
education	2.5708273252393754
engineering	3.2684998208517446
english literature	4.782819727173964
evolutionary biology	4.729323068878626
history	4.1718997777528655
linguistics	4.75175343210397
mathematics	4.41535447975824
middle eastern studies	4.19184813628363
molecular biology	2.453413506595949
music	3.945352906440448
neuroscience	4.21641728796153
philosophy	2.9541398434059385
physics	3.4475160655674424
political science	2.36423952584305
psychology	3.5594152228942626
sociology	2.9679933119829722
spanish literature	4.210326482960097
statistics	3.3621166533216464
