field	covariate
anthropology	3.897251181947459
archaeology	2.970977815867541
art history	3.9526351459534563
astronomy	4.157581526870501
biochemistry	2.8265497313946915
chemistry	2.968558091659931
classics	3.692264569891837
communications	4.214631685740484
comparative literature	3.5653879451125285
computer science	4.582659204771856
earth sciences	3.7811869965578597
economics	3.2138027196826116
education	2.8568540832873635
engineering	2.876286944347046
english literature	3.540746520207814
evolutionary biology	3.0511548044121652
history	4.765168252799933
linguistics	2.387629802219651
mathematics	3.712591176013788
middle eastern studies	4.20121062460813
molecular biology	2.8474505810043853
music	2.1336969463377526
neuroscience	4.869154889560521
philosophy	4.701397661194231
physics	4.885213026736802
political science	4.000211204395738
psychology	4.1803833068167915
sociology	2.545408609067217
spanish literature	4.264497142316342
statistics	3.231219812318315
