field	covariate
anthropology	4.978956183386044
archaeology	3.7536942343807227
art history	2.326355660497882
astronomy	4.069786009969366
biochemistry	3.216812611012104
chemistry	4.4995041826602336
classics	4.427326119166259
communications	2.7262203857150813
comparative literature	3.1503663342480315
computer science	2.328173534014236
earth sciences	3.0796519678924605
economics	2.6454460263857
education	4.963388049782369
engineering	3.906307780257416
english literature	4.805967733591616
evolutionary biology	3.0055085806973265
history	2.9289602269535897
linguistics	4.47875742970731
mathematics	2.0457661925746473
middle eastern studies	3.7439664585684733
molecular biology	3.8339424070640873
music	4.476644314981398
neuroscience	3.9764364634032128
philosophy	2.614165684657863
physics	4.7684865625211135
political science	4.4159551696027135
psychology	3.1262113931052298
sociology	4.055342699232197
spanish literature	4.674290483336524
statistics	4.9783266639354
