from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	7	44
anthropology	archaeology	27	6
anthropology	art history	0	0
anthropology	astronomy	3	0
anthropology	biochemistry	24	63
anthropology	chemistry	26	116
anthropology	classics	0	1
anthropology	communications	8	5
anthropology	comparative literature	1	3
anthropology	computer science	4	16
anthropology	earth sciences	8	2
anthropology	economics	3	4
anthropology	education	1	3
anthropology	engineering	15	18
anthropology	english literature	1	16
anthropology	evolutionary biology	21	20
anthropology	history	35	61
anthropology	linguistics	2	1
anthropology	mathematics	22	116
anthropology	middle eastern studies	89	310
anthropology	molecular biology	51	417
anthropology	music	31	63
anthropology	neuroscience	44	43
anthropology	philosophy	1	7
anthropology	physics	7	12
anthropology	political science	2	1
anthropology	psychology	4	6
anthropology	sociology	107	18
anthropology	spanish literature	7	7
anthropology	statistics	201	333
archaeology	anthropology	5	8
archaeology	archaeology	0	0
archaeology	art history	1	1
archaeology	astronomy	23	7
archaeology	biochemistry	85	51
archaeology	chemistry	28	11
archaeology	classics	12	12
archaeology	communications	26	6
archaeology	comparative literature	97	18
archaeology	computer science	6	3
archaeology	earth sciences	7	2
archaeology	economics	4	2
archaeology	education	32	4
archaeology	engineering	0	0
archaeology	english literature	122	18
archaeology	evolutionary biology	40	8
archaeology	history	81	55
archaeology	linguistics	9	5
archaeology	mathematics	9	8
archaeology	middle eastern studies	84	101
archaeology	molecular biology	8	3
archaeology	music	15	19
archaeology	neuroscience	19	13
archaeology	philosophy	5	0
archaeology	physics	0	0
archaeology	political science	8	4
archaeology	psychology	2	0
archaeology	sociology	31	5
archaeology	spanish literature	35	37
archaeology	statistics	146	202
art history	anthropology	15	5
art history	archaeology	2	0
art history	art history	10	1
art history	astronomy	3	1
art history	biochemistry	57	80
art history	chemistry	31	106
art history	classics	45	76
art history	communications	1	2
art history	comparative literature	7	8
art history	computer science	0	0
art history	earth sciences	0	4
art history	economics	24	42
art history	education	90	17
art history	engineering	13	6
art history	english literature	129	510
art history	evolutionary biology	26	24
art history	history	8	16
art history	linguistics	15	9
art history	mathematics	21	159
art history	middle eastern studies	11	32
art history	molecular biology	82	32
