field	covariate
anthropology	3.9351531074463324
archaeology	3.4510087584428435
art history	3.002996354643719
astronomy	3.5311814394541727
biochemistry	4.77954347332426
chemistry	3.541559176646698
classics	3.249689639482124
communications	3.784276400540116
comparative literature	3.141947870763889
computer science	3.139406201291683
earth sciences	3.060982235425533
economics	2.8633416101227485
education	4.293159840993114
engineering	2.3024799534429956
english literature	3.972753110577191
evolutionary biology	3.115615582953197
history	2.3075571153344114
linguistics	2.776790971268096
mathematics	2.291777456991276
middle eastern studies	3.845965605601802
molecular biology	2.9450901170047636
music	4.696504276161412
neuroscience	2.4351152741963356
philosophy	2.3120588905727892
physics	2.876971254292606
political science	2.3024350214166165
psychology	4.39235392920263
sociology	3.830373849721222
spanish literature	4.351650943076216
statistics	2.2778500654092815
