field	covariate
anthropology	3.7284412301143863
archaeology	4.204387924658191
art history	3.9152797102840218
astronomy	4.192160331688866
biochemistry	4.275338446979173
chemistry	4.813440483109931
classics	4.595429022455633
communications	2.7612813291990337
comparative literature	3.4867371215135594
computer science	4.434432435530594
earth sciences	4.1526326175866455
economics	3.2735182911180187
education	2.673111267708271
engineering	3.879879519729621
english literature	3.7785713099780907
evolutionary biology	2.463532962791547
history	3.860836490365631
linguistics	2.7726937480804734
mathematics	4.393717428123719
middle eastern studies	4.605947722911366
molecular biology	2.4818159276171436
music	3.0603071048731416
neuroscience	3.2546050400794657
philosophy	4.826143021840312
physics	2.7948462494248423
political science	2.01852006510705
psychology	2.6956152290434474
sociology	3.9394153171720605
spanish literature	3.6106745887889025
statistics	4.97866542629561
