field	covariate
anthropology	2.0096588337984356
archaeology	4.26643987795067
art history	4.364989062863205
astronomy	4.955031729671915
biochemistry	4.33813944303564
chemistry	2.5585758270496943
classics	2.7852270706102296
communications	4.003420399417857
comparative literature	4.673162634600953
computer science	3.777482963062658
earth sciences	2.906349429376259
economics	3.8735441604216216
education	2.2645136995708715
engineering	4.704842308913944
english literature	2.0407130273721297
evolutionary biology	2.5967816116951625
history	2.2890356306925876
linguistics	2.1006187693106275
mathematics	3.6285825285022892
middle eastern studies	4.658853616884409
molecular biology	2.754194031733402
music	3.980151744568565
neuroscience	4.505216159855823
philosophy	3.6170021451695873
physics	2.0171907723736044
political science	4.293961232126116
psychology	4.260489790287182
sociology	2.61449630746918
spanish literature	2.377863562308852
statistics	3.22736132504043
