field	covariate
anthropology	4.085589174051817
archaeology	4.909810854327892
art history	4.924567603970516
astronomy	4.875744457202463
biochemistry	3.4180812566080814
chemistry	4.288610819812225
classics	4.381592743946376
communications	4.221826383187368
comparative literature	4.3828631616883165
computer science	4.473903969342662
earth sciences	3.829948011599895
economics	4.661086611086983
education	2.905276332385357
engineering	2.0832697821498347
english literature	4.903258171941414
evolutionary biology	3.036627912248685
history	2.8222935197277947
linguistics	4.133491032665294
mathematics	4.7091828050599895
middle eastern studies	2.505727378265407
molecular biology	3.7429036256673833
music	4.822351003455903
neuroscience	4.073177872575361
philosophy	4.62773813926445
physics	2.757731421604158
political science	3.1776288560226997
psychology	2.7626601985757704
sociology	3.2429359191222566
spanish literature	2.758515667163005
statistics	2.9221668597348063
