field	covariate
anthropology	2.931135210053974
archaeology	4.393065541305554
art history	2.876455532955509
astronomy	2.183469170888601
biochemistry	2.157408846190875
chemistry	4.036238606989784
classics	4.590880326013839
communications	4.842893743900602
comparative literature	4.75546068225712
computer science	3.89838590682052
earth sciences	4.2437146002534165
economics	3.323700583822706
education	4.270009412707706
engineering	3.7569770086023997
english literature	4.154439656881146
evolutionary biology	3.8529965582195467
history	3.796599663729798
linguistics	3.640235697666958
mathematics	4.043739337878431
middle eastern studies	2.9951394721170224
molecular biology	4.290569110250658
music	3.192000676582313
neuroscience	3.8117126493287
philosophy	3.675749259354765
physics	2.535700845084901
political science	4.801370167622252
psychology	2.9775222872584286
sociology	2.9024859677542274
spanish literature	2.3508394472561207
statistics	4.554570348525464
