field	covariate
anthropology	4.205915666395124
archaeology	2.801761258740661
art history	2.440487353818971
astronomy	2.601644356879709
biochemistry	2.139324585424244
chemistry	2.2517252740511133
classics	4.700007150135091
communications	4.96334866511695
comparative literature	3.814980237804221
computer science	2.4045526272050246
earth sciences	3.201749575195448
economics	3.093654455148244
education	3.7054303049551836
engineering	4.946062233838409
english literature	4.7862256248198145
evolutionary biology	2.325995209992102
history	4.001969235211295
linguistics	2.36589345829708
mathematics	2.8132901446189327
middle eastern studies	4.269458403925411
molecular biology	2.5047417882317617
music	4.314616500723805
neuroscience	3.6721972079246203
philosophy	3.5037992717589477
physics	2.618629014662065
political science	2.5098678053401393
psychology	2.618973349634921
sociology	4.279734742740045
spanish literature	2.6229725352106508
statistics	2.678530643893504
