field	covariate
anthropology	2.321751782925991
archaeology	3.425125892579393
art history	3.9420217559454933
astronomy	2.9095211265234626
biochemistry	4.349268463513823
chemistry	4.62969815557198
classics	2.904861087635825
communications	2.539101826856052
comparative literature	3.169981494746738
computer science	2.057530156925136
earth sciences	4.458846137411017
economics	2.660524164414684
education	2.5599331042127136
engineering	4.97797031133403
english literature	4.884677202905479
evolutionary biology	3.4214464594356055
history	4.7247172204378245
linguistics	2.664360631084048
mathematics	4.977269480753261
middle eastern studies	4.050324320228182
molecular biology	2.0752882823966052
music	2.6573087595360567
neuroscience	3.835413095843516
philosophy	4.964173246183026
physics	2.8493273581313936
political science	2.2045155405477135
psychology	2.2500024489789587
sociology	4.524227146638153
spanish literature	2.3573754340233206
statistics	2.4942064229962
