field	covariate
anthropology	4.939653984760685
archaeology	4.257389486997457
art history	4.617864231345227
astronomy	2.836273875867156
biochemistry	2.6732875979779833
chemistry	4.823525734804802
classics	4.252452189960016
communications	2.7859277026495493
comparative literature	4.767075430844331
computer science	4.718146235221404
earth sciences	4.477558598249242
economics	4.407260644708964
education	2.226418943511657
engineering	3.0661098169217054
english literature	3.869373429234401
evolutionary biology	4.052642429647718
history	2.512923792537238
linguistics	2.3470869766323865
mathematics	4.3739392149489476
middle eastern studies	4.78927976560442
molecular biology	2.9120167761769777
music	2.3345553664641376
neuroscience	3.139394033489945
philosophy	3.130685091814032
physics	2.95066484870845
political science	2.9003211907362716
psychology	2.724966755837502
sociology	2.7265914376276896
spanish literature	2.84825869908658
statistics	4.3783283520192535
