from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	16	33
anthropology	archaeology	9	1
anthropology	art history	2	15
anthropology	astronomy	46	89
anthropology	biochemistry	59	43
anthropology	chemistry	1	5
anthropology	classics	3	13
anthropology	communications	2	11
anthropology	comparative literature	39	173
anthropology	computer science	23	26
anthropology	earth sciences	24	24
anthropology	economics	35	238
anthropology	education	5	3
anthropology	engineering	19	29
anthropology	english literature	0	3
anthropology	evolutionary biology	55	54
anthropology	history	2	2
anthropology	linguistics	2	2
anthropology	mathematics	2	3
anthropology	middle eastern studies	5	19
anthropology	molecular biology	26	37
anthropology	music	1	0
anthropology	neuroscience	0	0
anthropology	philosophy	10	10
anthropology	physics	6	5
anthropology	political science	67	24
anthropology	psychology	1	0
anthropology	sociology	7	13
anthropology	spanish literature	0	6
anthropology	statistics	6	41
archaeology	anthropology	102	5
archaeology	archaeology	9	0
archaeology	art history	71	17
archaeology	astronomy	32	1
archaeology	biochemistry	193	117
archaeology	chemistry	95	16
archaeology	classics	26	6
archaeology	communications	47	49
archaeology	comparative literature	28	24
archaeology	computer science	66	35
archaeology	earth sciences	72	181
archaeology	economics	96	23
archaeology	education	184	9
archaeology	engineering	62	35
archaeology	english literature	256	34
archaeology	evolutionary biology	5	2
archaeology	history	91	5
archaeology	linguistics	315	46
archaeology	mathematics	25	5
archaeology	middle eastern studies	120	43
archaeology	molecular biology	33	43
archaeology	music	17	1
archaeology	neuroscience	37	3
archaeology	philosophy	66	11
archaeology	physics	28	5
archaeology	political science	683	69
archaeology	psychology	4	1
archaeology	sociology	71	5
archaeology	spanish literature	233	77
archaeology	statistics	10	0
art history	anthropology	8	1
art history	archaeology	70	122
art history	art history	22	8
art history	astronomy	133	192
art history	biochemistry	138	36
art history	chemistry	0	2
art history	classics	37	35
art history	communications	2	3
art history	comparative literature	58	41
art history	computer science	24	47
art history	earth sciences	174	200
art history	economics	36	86
art history	education	4	20
art history	engineering	56	461
art history	english literature	8	5
art history	evolutionary biology	1	3
art history	history	40	19
art history	linguistics	11	24
art history	mathematics	34	15
art history	middle eastern studies	39	6
art history	molecular biology	250	129
art history	music	0	0
art history	neuroscience	2	10
art history	philosophy	34	7
art history	physics	1	5
art history	political science	1	5
art history	psychology	11	10
art history	sociology	10	23
art history	spanish literature	0	1
art history	statistics	72	25
astronomy	anthropology	78	80
astronomy	archaeology	32	20
astronomy	art history	182	76
astronomy	astronomy	75	8
astronomy	biochemistry	197	338
astronomy	chemistry	259	15
astronomy	classics	143	45
astronomy	communications	109	44
astronomy	comparative literature	43	19
astronomy	computer science	63	30
astronomy	earth sciences	95	90
astronomy	economics	44	17
astronomy	education	37	30
astronomy	engineering	192	166
astronomy	english literature	95	37
astronomy	evolutionary biology	15	20
astronomy	history	164	17
astronomy	linguistics	1	1
astronomy	mathematics	156	152
astronomy	middle eastern studies	239	108
astronomy	molecular biology	465	156
astronomy	music	188	38
astronomy	neuroscience	383	11
astronomy	philosophy	178	21
astronomy	physics	2	0
astronomy	political science	32	20
astronomy	psychology	170	34
astronomy	sociology	52	33
astronomy	spanish literature	49	9
astronomy	statistics	44	2
biochemistry	anthropology	53	72
biochemistry	archaeology	25	10
biochemistry	art history	37	190
biochemistry	astronomy	13	25
biochemistry	biochemistry	11	25
biochemistry	chemistry	0	2
biochemistry	classics	172	65
biochemistry	communications	226	154
biochemistry	comparative literature	65	10
biochemistry	computer science	24	7
biochemistry	earth sciences	57	73
biochemistry	economics	77	56
biochemistry	education	21	27
biochemistry	engineering	100	30
biochemistry	english literature	33	1
biochemistry	evolutionary biology	104	14
biochemistry	history	32	131
biochemistry	linguistics	167	124
biochemistry	mathematics	198	88
biochemistry	middle eastern studies	30	38
biochemistry	molecular biology	379	163
biochemistry	music	100	96
biochemistry	neuroscience	14	16
biochemistry	philosophy	193	135
biochemistry	physics	152	136
biochemistry	political science	16	4
biochemistry	psychology	67	68
biochemistry	sociology	114	45
biochemistry	spanish literature	156	10
biochemistry	statistics	161	37
chemistry	anthropology	32	41
chemistry	archaeology	35	54
chemistry	art history	5	1
