from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	33	17
anthropology	archaeology	2	150
anthropology	art history	2	111
anthropology	astronomy	2	124
anthropology	biochemistry	43	67
anthropology	chemistry	7	19
anthropology	classics	63	113
anthropology	communications	0	2
anthropology	comparative literature	193	372
anthropology	computer science	184	41
anthropology	earth sciences	14	54
anthropology	economics	7	215
anthropology	education	73	51
anthropology	engineering	26	215
anthropology	english literature	47	135
anthropology	evolutionary biology	28	124
anthropology	history	35	459
anthropology	linguistics	8	147
anthropology	mathematics	1	55
anthropology	middle eastern studies	6	71
anthropology	molecular biology	169	100
anthropology	music	4	3
anthropology	neuroscience	19	52
anthropology	philosophy	35	31
anthropology	physics	41	235
anthropology	political science	14	21
anthropology	psychology	10	148
anthropology	sociology	103	120
anthropology	spanish literature	17	300
anthropology	statistics	100	472
archaeology	anthropology	310	15
archaeology	archaeology	33	5
archaeology	art history	3	0
archaeology	astronomy	0	0
archaeology	biochemistry	41	3
archaeology	chemistry	44	17
archaeology	classics	598	9
archaeology	communications	30	0
archaeology	comparative literature	124	14
archaeology	computer science	652	19
archaeology	earth sciences	12	4
archaeology	economics	17	0
archaeology	education	46	0
archaeology	engineering	19	0
archaeology	english literature	11	0
archaeology	evolutionary biology	151	3
archaeology	history	3	0
archaeology	linguistics	113	9
archaeology	mathematics	19	0
archaeology	middle eastern studies	7	1
archaeology	molecular biology	331	2
archaeology	music	42	6
archaeology	neuroscience	39	18
archaeology	philosophy	466	4
archaeology	physics	0	0
archaeology	political science	22	7
archaeology	psychology	21	6
archaeology	sociology	13	3
archaeology	spanish literature	1	0
archaeology	statistics	346	0
art history	anthropology	95	2
art history	archaeology	6	10
art history	art history	2	3
art history	astronomy	0	2
art history	biochemistry	3	0
art history	chemistry	7	28
art history	classics	142	21
art history	communications	8	0
art history	comparative literature	476	8
art history	computer science	48	44
art history	earth sciences	3	0
art history	economics	30	6
art history	education	5	0
art history	engineering	13	2
art history	english literature	2	1
art history	evolutionary biology	299	28
art history	history	66	22
art history	linguistics	84	33
art history	mathematics	4	5
art history	middle eastern studies	28	1
art history	molecular biology	72	1
art history	music	0	1
art history	neuroscience	1	1
art history	philosophy	55	6
art history	physics	0	0
art history	political science	0	0
art history	psychology	20	8
art history	sociology	5	3
art history	spanish literature	6	13
art history	statistics	188	33
astronomy	anthropology	364	14
astronomy	archaeology	1	0
astronomy	art history	9	4
astronomy	astronomy	8	0
astronomy	biochemistry	2	0
astronomy	chemistry	1	0
astronomy	classics	518	11
astronomy	communications	8	1
astronomy	comparative literature	97	2
astronomy	computer science	414	2
astronomy	earth sciences	7	2
astronomy	economics	27	0
astronomy	education	5	0
astronomy	engineering	2	0
astronomy	english literature	33	1
astronomy	evolutionary biology	125	0
astronomy	history	11	1
astronomy	linguistics	95	12
astronomy	mathematics	22	6
astronomy	middle eastern studies	3	0
astronomy	molecular biology	520	113
astronomy	music	11	3
astronomy	neuroscience	47	10
astronomy	philosophy	17	2
astronomy	physics	12	2
astronomy	political science	12	2
astronomy	psychology	24	5
astronomy	sociology	4	1
astronomy	spanish literature	2	0
astronomy	statistics	17	2
biochemistry	anthropology	296	51
biochemistry	archaeology	0	5
biochemistry	art history	2	6
biochemistry	astronomy	0	1
biochemistry	biochemistry	15	20
biochemistry	chemistry	12	6
biochemistry	classics	101	23
biochemistry	communications	0	0
biochemistry	comparative literature	52	19
biochemistry	computer science	29	0
biochemistry	earth sciences	3	2
biochemistry	economics	6	3
biochemistry	education	2	0
biochemistry	engineering	0	1
biochemistry	english literature	16	2
biochemistry	evolutionary biology	2	0
biochemistry	history	2	1
biochemistry	linguistics	36	0
biochemistry	mathematics	11	3
biochemistry	middle eastern studies	3	3
biochemistry	molecular biology	307	15
biochemistry	music	16	15
biochemistry	neuroscience	4	4
biochemistry	philosophy	59	15
biochemistry	physics	7	16
biochemistry	political science	4	1
biochemistry	psychology	1	2
biochemistry	sociology	2	2
biochemistry	spanish literature	6	11
biochemistry	statistics	134	17
chemistry	anthropology	72	9
chemistry	archaeology	64	17
chemistry	art history	4	2
chemistry	astronomy	4	0
chemistry	biochemistry	37	20
chemistry	chemistry	54	4
chemistry	classics	105	6
chemistry	communications	162	108
chemistry	comparative literature	203	13
chemistry	computer science	4	0
chemistry	earth sciences	1	0
chemistry	economics	21	4
chemistry	education	17	15
chemistry	engineering	0	1
chemistry	english literature	2	0
chemistry	evolutionary biology	81	20
chemistry	history	3	2
chemistry	linguistics	420	109
chemistry	mathematics	1	2
chemistry	middle eastern studies	3	1
chemistry	molecular biology	65	9
chemistry	music	15	9
chemistry	neuroscience	26	60
chemistry	philosophy	274	21
chemistry	physics	0	0
chemistry	political science	4	0
chemistry	psychology	18	6
chemistry	sociology	10	1
chemistry	spanish literature	2	1
chemistry	statistics	44	13
classics	anthropology	61	27
classics	archaeology	10	139
classics	art history	49	292
classics	astronomy	25	90
classics	biochemistry	148	300
classics	chemistry	20	54
classics	classics	36	61
classics	communications	0	27
classics	comparative literature	23	139
classics	computer science	235	190
classics	earth sciences	9	25
classics	economics	137	273
classics	education	0	0
classics	engineering	29	38
classics	english literature	43	76
classics	evolutionary biology	107	191
classics	history	37	123
classics	linguistics	12	7
classics	mathematics	33	140
classics	middle eastern studies	61	86
classics	molecular biology	258	296
classics	music	141	39
classics	neuroscience	33	74
classics	philosophy	31	7
classics	physics	29	105
classics	political science	21	142
classics	psychology	24	121
classics	sociology	53	48
classics	spanish literature	17	57
classics	statistics	342	298
communications	anthropology	24	20
communications	archaeology	2	8
communications	art history	2	22
communications	astronomy	2	202
communications	biochemistry	0	2
communications	chemistry	6	28
communications	classics	7	0
communications	communications	3	5
communications	comparative literature	36	17
communications	computer science	24	1
communications	earth sciences	5	20
communications	economics	5	12
communications	education	4	3
communications	engineering	0	3
communications	english literature	1	16
communications	evolutionary biology	48	34
communications	history	5	59
communications	linguistics	5	5
communications	mathematics	0	0
communications	middle eastern studies	0	0
communications	molecular biology	38	42
communications	music	6	2
communications	neuroscience	0	5
communications	philosophy	12	12
communications	physics	3	29
communications	political science	4	21
communications	psychology	8	111
communications	sociology	3	8
communications	spanish literature	1	24
communications	statistics	5	33
comparative literature	anthropology	288	176
comparative literature	archaeology	18	44
comparative literature	art history	17	84
comparative literature	astronomy	0	19
comparative literature	biochemistry	10	27
comparative literature	chemistry	145	86
comparative literature	classics	27	11
comparative literature	communications	501	434
comparative literature	comparative literature	135	292
comparative literature	computer science	834	28
comparative literature	earth sciences	3	0
comparative literature	economics	445	264
comparative literature	education	338	155
comparative literature	engineering	68	216
comparative literature	english literature	35	25
comparative literature	evolutionary biology	21	14
comparative literature	history	30	19
comparative literature	linguistics	129	210
comparative literature	mathematics	8	30
comparative literature	middle eastern studies	19	53
comparative literature	molecular biology	37	12
comparative literature	music	122	17
comparative literature	neuroscience	58	45
comparative literature	philosophy	21	9
comparative literature	physics	165	273
comparative literature	political science	120	42
comparative literature	psychology	209	436
comparative literature	sociology	81	27
comparative literature	spanish literature	98	26
comparative literature	statistics	13	26
computer science	anthropology	183	41
computer science	archaeology	5	4
computer science	art history	0	27
computer science	astronomy	19	28
computer science	biochemistry	27	40
computer science	chemistry	179	489
computer science	classics	51	42
computer science	communications	32	125
computer science	comparative literature	16	18
computer science	computer science	79	12
computer science	earth sciences	105	168
computer science	economics	176	57
computer science	education	60	32
computer science	engineering	61	164
computer science	english literature	190	101
computer science	evolutionary biology	28	7
computer science	history	2	1
computer science	linguistics	72	119
computer science	mathematics	1	0
computer science	middle eastern studies	8	7
computer science	molecular biology	75	6
computer science	music	94	101
computer science	neuroscience	17	184
computer science	philosophy	57	23
computer science	physics	228	386
computer science	political science	28	125
computer science	psychology	0	6
computer science	sociology	122	266
computer science	spanish literature	55	182
computer science	statistics	12	21
earth sciences	anthropology	119	61
earth sciences	archaeology	0	0
earth sciences	art history	4	7
earth sciences	astronomy	4	26
earth sciences	biochemistry	1	1
earth sciences	chemistry	1	1
earth sciences	classics	64	6
earth sciences	communications	0	0
earth sciences	comparative literature	277	102
earth sciences	computer science	82	56
earth sciences	earth sciences	8	8
earth sciences	economics	66	100
earth sciences	education	7	2
earth sciences	engineering	0	0
earth sciences	english literature	11	1
earth sciences	evolutionary biology	78	28
earth sciences	history	0	0
earth sciences	linguistics	32	13
earth sciences	mathematics	1	1
earth sciences	middle eastern studies	17	10
earth sciences	molecular biology	67	0
earth sciences	music	13	10
earth sciences	neuroscience	0	0
earth sciences	philosophy	144	37
earth sciences	physics	5	2
earth sciences	political science	0	2
earth sciences	psychology	19	49
earth sciences	sociology	15	12
earth sciences	spanish literature	11	7
earth sciences	statistics	14	16
economics	anthropology	28	10
economics	archaeology	10	4
economics	art history	0	0
economics	astronomy	37	6
economics	biochemistry	10	3
economics	chemistry	2	10
economics	classics	144	46
economics	communications	14	1
economics	comparative literature	5	1
economics	computer science	8	0
economics	earth sciences	42	16
economics	economics	3	2
economics	education	5	3
economics	engineering	0	1
economics	english literature	22	0
economics	evolutionary biology	62	4
economics	history	21	2
economics	linguistics	158	19
economics	mathematics	11	17
economics	middle eastern studies	27	16
economics	molecular biology	223	33
economics	music	93	4
economics	neuroscience	14	6
economics	philosophy	19	0
economics	physics	4	0
economics	political science	4	0
economics	psychology	1	4
economics	sociology	23	3
economics	spanish literature	5	10
economics	statistics	55	14
education	anthropology	47	24
education	archaeology	1	3
education	art history	1	7
education	astronomy	0	2
education	biochemistry	1	4
education	chemistry	1	4
education	classics	63	49
education	communications	23	8
education	comparative literature	25	6
education	computer science	152	45
education	earth sciences	1	23
education	economics	2	14
education	education	8	2
education	engineering	17	16
education	english literature	0	9
education	evolutionary biology	16	24
education	history	2	8
education	linguistics	135	132
education	mathematics	5	8
education	middle eastern studies	0	1
education	molecular biology	31	88
education	music	4	19
education	neuroscience	7	32
education	philosophy	267	96
education	physics	1	9
education	political science	2	10
education	psychology	0	3
education	sociology	3	3
education	spanish literature	23	48
education	statistics	106	105
engineering	anthropology	91	15
engineering	archaeology	15	41
engineering	art history	0	0
engineering	astronomy	1	4
engineering	biochemistry	49	20
engineering	chemistry	1	0
engineering	classics	152	61
engineering	communications	18	12
engineering	comparative literature	7	1
engineering	computer science	206	36
engineering	earth sciences	0	3
engineering	economics	19	20
engineering	education	3	7
engineering	engineering	2	2
engineering	english literature	0	0
engineering	evolutionary biology	286	17
engineering	history	1	5
engineering	linguistics	35	9
engineering	mathematics	2	3
engineering	middle eastern studies	10	4
engineering	molecular biology	34	3
engineering	music	4	2
engineering	neuroscience	0	6
engineering	philosophy	34	9
engineering	physics	4	7
engineering	political science	5	7
engineering	psychology	3	12
engineering	sociology	32	8
engineering	spanish literature	1	12
engineering	statistics	77	31
english literature	anthropology	44	146
english literature	archaeology	1	5
english literature	art history	16	38
english literature	astronomy	1	9
english literature	biochemistry	0	4
english literature	chemistry	9	14
english literature	classics	33	9
english literature	communications	20	25
english literature	comparative literature	82	62
english literature	computer science	19	27
english literature	earth sciences	1	14
english literature	economics	0	1
english literature	education	2	0
english literature	engineering	11	16
english literature	english literature	10	21
english literature	evolutionary biology	3	28
english literature	history	1	11
english literature	linguistics	42	158
english literature	mathematics	1	7
english literature	middle eastern studies	3	18
english literature	molecular biology	169	263
english literature	music	11	6
english literature	neuroscience	6	62
english literature	philosophy	233	133
english literature	physics	0	6
english literature	political science	0	0
english literature	psychology	8	27
english literature	sociology	1	3
english literature	spanish literature	1	19
english literature	statistics	236	18
evolutionary biology	anthropology	65	251
evolutionary biology	archaeology	104	190
evolutionary biology	art history	8	56
evolutionary biology	astronomy	24	248
evolutionary biology	biochemistry	34	244
evolutionary biology	chemistry	152	161
evolutionary biology	classics	91	7
evolutionary biology	communications	45	136
evolutionary biology	comparative literature	88	54
evolutionary biology	computer science	17	38
evolutionary biology	earth sciences	119	227
evolutionary biology	economics	59	208
evolutionary biology	education	11	7
evolutionary biology	engineering	59	316
evolutionary biology	english literature	7	7
evolutionary biology	evolutionary biology	117	120
evolutionary biology	history	88	560
evolutionary biology	linguistics	24	11
evolutionary biology	mathematics	6	5
evolutionary biology	middle eastern studies	54	168
evolutionary biology	molecular biology	14	38
evolutionary biology	music	320	115
evolutionary biology	neuroscience	187	235
evolutionary biology	philosophy	35	18
evolutionary biology	physics	20	139
evolutionary biology	political science	4	158
evolutionary biology	psychology	22	40
evolutionary biology	sociology	49	74
evolutionary biology	spanish literature	7	12
evolutionary biology	statistics	26	22
history	anthropology	90	2
history	archaeology	42	13
history	art history	34	15
history	astronomy	7	14
history	biochemistry	9	3
history	chemistry	1	0
history	classics	72	32
history	communications	14	56
history	comparative literature	59	31
history	computer science	129	13
history	earth sciences	1	1
history	economics	8	2
history	education	2	4
history	engineering	16	5
history	english literature	3	3
history	evolutionary biology	795	105
history	history	24	24
history	linguistics	21	1
history	mathematics	0	0
history	middle eastern studies	38	14
history	molecular biology	44	15
history	music	1	1
history	neuroscience	8	2
history	philosophy	5	0
history	physics	117	35
history	political science	51	34
history	psychology	13	5
history	sociology	2	2
history	spanish literature	21	34
history	statistics	449	55
linguistics	anthropology	45	29
linguistics	archaeology	38	162
linguistics	art history	3	43
linguistics	astronomy	104	175
linguistics	biochemistry	11	54
linguistics	chemistry	0	4
linguistics	classics	25	65
linguistics	communications	53	153
linguistics	comparative literature	51	53
linguistics	computer science	48	8
linguistics	earth sciences	323	506
linguistics	economics	115	164
linguistics	education	13	42
linguistics	engineering	37	46
linguistics	english literature	31	8
linguistics	evolutionary biology	85	75
linguistics	history	52	186
linguistics	linguistics	77	125
linguistics	mathematics	79	105
linguistics	middle eastern studies	31	114
linguistics	molecular biology	3	4
linguistics	music	12	4
linguistics	neuroscience	1	27
linguistics	philosophy	27	53
linguistics	physics	39	600
linguistics	political science	5	29
linguistics	psychology	2	11
linguistics	sociology	30	51
linguistics	spanish literature	91	41
linguistics	statistics	94	83
mathematics	anthropology	79	22
mathematics	archaeology	12	4
mathematics	art history	0	4
mathematics	astronomy	12	9
mathematics	biochemistry	9	6
mathematics	chemistry	1	4
mathematics	classics	164	46
mathematics	communications	20	4
mathematics	comparative literature	32	15
mathematics	computer science	18	14
mathematics	earth sciences	58	26
mathematics	economics	15	6
mathematics	education	13	5
mathematics	engineering	6	29
mathematics	english literature	5	11
mathematics	evolutionary biology	87	14
mathematics	history	0	2
mathematics	linguistics	183	30
mathematics	mathematics	2	31
mathematics	middle eastern studies	1	0
mathematics	molecular biology	170	29
mathematics	music	40	19
mathematics	neuroscience	5	16
mathematics	philosophy	44	18
mathematics	physics	0	6
mathematics	political science	10	8
mathematics	psychology	4	4
mathematics	sociology	10	7
mathematics	spanish literature	0	1
mathematics	statistics	219	77
middle eastern studies	anthropology	38	186
middle eastern studies	archaeology	0	6
middle eastern studies	art history	1	10
middle eastern studies	astronomy	4	72
middle eastern studies	biochemistry	18	26
middle eastern studies	chemistry	7	8
