from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	0	6
anthropology	archaeology	49	11
anthropology	art history	23	133
anthropology	astronomy	0	18
anthropology	biochemistry	1	9
anthropology	chemistry	9	92
anthropology	classics	14	49
anthropology	communications	1	25
anthropology	comparative literature	0	5
anthropology	computer science	13	105
anthropology	earth sciences	60	72
anthropology	economics	8	10
anthropology	education	3	6
anthropology	engineering	58	344
anthropology	english literature	2	93
anthropology	evolutionary biology	270	56
anthropology	history	1	35
anthropology	linguistics	38	100
anthropology	mathematics	57	207
anthropology	middle eastern studies	21	170
anthropology	molecular biology	36	148
anthropology	music	0	30
anthropology	neuroscience	0	366
anthropology	philosophy	11	25
anthropology	physics	74	172
anthropology	political science	12	5
anthropology	psychology	3	8
anthropology	sociology	42	30
anthropology	spanish literature	0	1
anthropology	statistics	8	86
archaeology	anthropology	7	1
archaeology	archaeology	225	117
archaeology	art history	38	2
archaeology	astronomy	100	81
archaeology	biochemistry	58	40
archaeology	chemistry	3	2
archaeology	classics	21	0
archaeology	communications	63	5
archaeology	comparative literature	57	7
archaeology	computer science	35	6
archaeology	earth sciences	30	4
archaeology	economics	17	1
archaeology	education	16	2
archaeology	engineering	136	7
archaeology	english literature	79	75
archaeology	evolutionary biology	72	2
archaeology	history	0	2
archaeology	linguistics	376	9
archaeology	mathematics	34	9
archaeology	middle eastern studies	3	3
archaeology	molecular biology	2	0
archaeology	music	62	7
archaeology	neuroscience	12	4
archaeology	philosophy	0	0
archaeology	physics	3	0
archaeology	political science	86	31
archaeology	psychology	17	5
archaeology	sociology	102	8
archaeology	spanish literature	46	44
archaeology	statistics	9	5
art history	anthropology	74	97
art history	archaeology	1	6
art history	art history	4	4
art history	astronomy	2	11
art history	biochemistry	3	28
art history	chemistry	7	39
art history	classics	1	0
art history	communications	39	134
art history	comparative literature	11	11
art history	computer science	37	12
art history	earth sciences	132	34
art history	economics	40	29
art history	education	72	5
art history	engineering	54	57
art history	english literature	19	9
art history	evolutionary biology	34	15
art history	history	102	48
art history	linguistics	0	1
art history	mathematics	44	8
art history	middle eastern studies	9	3
art history	molecular biology	47	88
art history	music	6	23
art history	neuroscience	8	2
art history	philosophy	8	3
art history	physics	165	33
art history	political science	0	1
art history	psychology	125	13
art history	sociology	8	5
art history	spanish literature	48	12
art history	statistics	33	16
astronomy	anthropology	107	4
astronomy	archaeology	23	26
astronomy	art history	145	8
astronomy	astronomy	40	30
astronomy	biochemistry	2	2
astronomy	chemistry	167	11
astronomy	classics	103	22
astronomy	communications	44	9
astronomy	comparative literature	31	14
astronomy	computer science	25	19
astronomy	earth sciences	14	2
astronomy	economics	25	7
astronomy	education	10	1
astronomy	engineering	47	20
astronomy	english literature	171	51
astronomy	evolutionary biology	3	0
astronomy	history	15	1
astronomy	linguistics	14	0
astronomy	mathematics	56	36
astronomy	middle eastern studies	20	12
astronomy	molecular biology	153	15
astronomy	music	7	1
astronomy	neuroscience	60	72
astronomy	philosophy	14	0
