field	covariate
anthropology	2.3157880755672196
archaeology	3.7031698677636564
art history	3.8458178658861537
astronomy	4.4334471372060325
biochemistry	2.274466930432098
chemistry	2.662690048110183
classics	4.145111251713332
communications	3.676052503015658
comparative literature	3.298140811782082
computer science	4.692906617237911
earth sciences	4.403574917565831
economics	2.8518987031406624
education	2.4446030748751006
engineering	4.9750543495149815
english literature	4.150007408110433
evolutionary biology	3.940157350185063
history	3.520157391906637
linguistics	3.302536591544559
mathematics	3.314137962962576
middle eastern studies	2.9356136480773563
molecular biology	2.833553602131308
music	2.3707659511549806
neuroscience	4.663156109881957
philosophy	2.2753606018002865
physics	4.858490426629859
political science	4.245700988790341
psychology	3.7858377320832166
sociology	4.063580354306452
spanish literature	4.101096663972008
statistics	2.0412006720189964
