from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	9	47
anthropology	archaeology	1	1
anthropology	art history	9	15
anthropology	astronomy	124	175
anthropology	biochemistry	27	34
anthropology	chemistry	8	13
anthropology	classics	8	6
anthropology	communications	0	0
anthropology	comparative literature	0	0
anthropology	computer science	14	2
anthropology	earth sciences	1	1
anthropology	economics	1	3
anthropology	education	32	33
anthropology	engineering	0	0
anthropology	english literature	8	74
anthropology	evolutionary biology	0	1
anthropology	history	29	47
anthropology	linguistics	93	31
anthropology	mathematics	15	37
anthropology	middle eastern studies	0	2
anthropology	molecular biology	5	28
anthropology	music	1	4
anthropology	neuroscience	6	6
anthropology	philosophy	6	10
anthropology	physics	4	12
anthropology	political science	0	22
anthropology	psychology	2	5
anthropology	sociology	188	126
anthropology	spanish literature	3	2
anthropology	statistics	14	6
archaeology	anthropology	16	1
archaeology	archaeology	20	2
archaeology	art history	7	2
archaeology	astronomy	316	11
archaeology	biochemistry	306	48
archaeology	chemistry	13	0
archaeology	classics	1	0
archaeology	communications	6	4
archaeology	comparative literature	67	42
archaeology	computer science	12	8
archaeology	earth sciences	12	0
archaeology	economics	12	8
archaeology	education	9	0
archaeology	engineering	20	10
archaeology	english literature	36	11
archaeology	evolutionary biology	12	1
archaeology	history	33	5
archaeology	linguistics	3	0
archaeology	mathematics	2	7
archaeology	middle eastern studies	11	5
archaeology	molecular biology	191	20
archaeology	music	3	1
archaeology	neuroscience	40	4
archaeology	philosophy	12	7
archaeology	physics	3	0
archaeology	political science	7	0
archaeology	psychology	25	6
archaeology	sociology	284	84
archaeology	spanish literature	11	1
archaeology	statistics	30	18
art history	anthropology	16	35
art history	archaeology	11	3
art history	art history	1	1
art history	astronomy	31	13
art history	biochemistry	248	154
art history	chemistry	5	21
art history	classics	6	0
art history	communications	5	2
art history	comparative literature	5	2
art history	computer science	50	14
art history	earth sciences	5	1
art history	economics	1	1
art history	education	247	165
art history	engineering	6	8
art history	english literature	24	38
art history	evolutionary biology	14	8
art history	history	9	4
art history	linguistics	8	5
art history	mathematics	7	5
art history	middle eastern studies	43	24
art history	molecular biology	116	16
art history	music	3	0
art history	neuroscience	6	7
art history	philosophy	0	3
art history	physics	3	2
art history	political science	2	3
art history	psychology	7	1
art history	sociology	108	51
art history	spanish literature	5	1
art history	statistics	40	2
astronomy	anthropology	60	87
astronomy	archaeology	52	75
astronomy	art history	4	6
astronomy	astronomy	12	4
astronomy	biochemistry	64	5
astronomy	chemistry	326	168
astronomy	classics	300	48
astronomy	communications	185	38
astronomy	comparative literature	127	63
astronomy	computer science	65	28
astronomy	earth sciences	107	35
astronomy	economics	4	3
astronomy	education	9	25
astronomy	engineering	174	45
astronomy	english literature	35	35
astronomy	evolutionary biology	9	2
astronomy	history	277	127
astronomy	linguistics	191	159
astronomy	mathematics	151	56
astronomy	middle eastern studies	145	37
astronomy	molecular biology	38	51
astronomy	music	37	33
astronomy	neuroscience	145	37
astronomy	philosophy	240	119
astronomy	physics	7	8
astronomy	political science	332	53
astronomy	psychology	72	45
astronomy	sociology	12	10
astronomy	spanish literature	37	10
astronomy	statistics	141	36
biochemistry	anthropology	106	136
biochemistry	archaeology	55	117
biochemistry	art history	35	148
biochemistry	astronomy	68	27
biochemistry	biochemistry	13	98
biochemistry	chemistry	27	70
biochemistry	classics	96	39
biochemistry	communications	35	47
biochemistry	comparative literature	27	147
biochemistry	computer science	31	104
biochemistry	earth sciences	37	8
biochemistry	economics	16	35
biochemistry	education	28	24
biochemistry	engineering	266	167
biochemistry	english literature	12	111
biochemistry	evolutionary biology	14	31
biochemistry	history	8	10
biochemistry	linguistics	93	72
biochemistry	mathematics	130	133
biochemistry	middle eastern studies	106	54
biochemistry	molecular biology	29	5
biochemistry	music	41	289
biochemistry	neuroscience	69	96
biochemistry	philosophy	22	2
biochemistry	physics	15	1
biochemistry	political science	92	38
biochemistry	psychology	21	98
biochemistry	sociology	77	77
biochemistry	spanish literature	10	3
biochemistry	statistics	173	61
chemistry	anthropology	86	11
chemistry	archaeology	0	1
chemistry	art history	3	3
chemistry	astronomy	86	17
chemistry	biochemistry	255	97
chemistry	chemistry	12	11
chemistry	classics	10	1
chemistry	communications	7	4
chemistry	comparative literature	3	5
chemistry	computer science	5	14
chemistry	earth sciences	2	0
chemistry	economics	4	1
chemistry	education	56	42
chemistry	engineering	5	1
chemistry	english literature	3	5
chemistry	evolutionary biology	1	1
chemistry	history	1	0
chemistry	linguistics	5	7
chemistry	mathematics	3	7
chemistry	middle eastern studies	169	17
chemistry	molecular biology	15	2
