field	covariate
anthropology	2.0207081137320415
archaeology	3.940599379089658
art history	4.210580400718722
astronomy	3.108634171145066
biochemistry	2.924383599182063
chemistry	2.9942205493684457
classics	4.627409103979371
communications	2.594766271034764
comparative literature	4.687236330831231
computer science	3.8591215266015984
earth sciences	4.078421686624986
economics	2.7547530280978423
education	4.739605003463542
engineering	3.4532915725848374
english literature	3.008338236486095
evolutionary biology	3.902175681406505
history	3.219263427038295
linguistics	2.3139379805747318
mathematics	3.902491401980686
middle eastern studies	4.3591240504731275
molecular biology	4.586278006317759
music	2.2166811927334438
neuroscience	4.2482249247766
philosophy	3.8695246393647373
physics	2.070772416762197
political science	3.7729570541348094
psychology	4.360633565813513
sociology	2.3594360703586292
spanish literature	4.523028592962752
statistics	4.92640554052523
