field	covariate
anthropology	3.246329978276621
archaeology	2.925771489860397
art history	2.1159279640398903
astronomy	2.1253829306704968
biochemistry	4.126444237268585
chemistry	4.0087017862761005
classics	3.511832427957868
communications	3.2371993571544424
comparative literature	3.5368353874071756
computer science	2.2299275452629512
earth sciences	2.6246474024553104
economics	3.3338897300344925
education	2.9239250283964227
engineering	3.632222455085177
english literature	3.5923397577097047
evolutionary biology	4.656600762434033
history	3.16539517916402
linguistics	4.691792598241726
mathematics	2.394909517155261
middle eastern studies	2.2498304694307105
molecular biology	3.7957840890950796
music	4.85963602080576
neuroscience	2.7140028976250816
philosophy	4.783653332732937
physics	3.916348065263311
political science	3.2502516178735497
psychology	4.91455651959023
sociology	3.093083048795016
spanish literature	4.018984879938963
statistics	3.3412978292876714
