from_matched_field	to_matched_field	n_male	n_female
anthropology	anthropology	0	8
anthropology	archaeology	4	9
anthropology	art history	36	86
anthropology	astronomy	26	8
anthropology	biochemistry	20	75
anthropology	chemistry	33	70
anthropology	classics	18	79
anthropology	communications	1	16
anthropology	comparative literature	40	51
anthropology	computer science	4	27
anthropology	earth sciences	10	61
anthropology	economics	2	0
anthropology	education	94	39
anthropology	engineering	0	0
anthropology	english literature	84	130
anthropology	evolutionary biology	5	15
anthropology	history	1	0
anthropology	linguistics	16	14
anthropology	mathematics	1	0
anthropology	middle eastern studies	33	41
anthropology	molecular biology	4	6
anthropology	music	3	6
anthropology	neuroscience	12	64
anthropology	philosophy	27	18
anthropology	physics	4	21
anthropology	political science	5	2
anthropology	psychology	3	4
anthropology	sociology	1	1
anthropology	spanish literature	0	4
anthropology	statistics	27	29
archaeology	anthropology	28	12
archaeology	archaeology	66	17
archaeology	art history	63	4
archaeology	astronomy	1	3
archaeology	biochemistry	154	35
archaeology	chemistry	14	9
archaeology	classics	12	3
archaeology	communications	21	11
archaeology	comparative literature	196	26
archaeology	computer science	17	4
archaeology	earth sciences	101	6
archaeology	economics	43	10
archaeology	education	15	13
archaeology	engineering	9	5
archaeology	english literature	102	40
archaeology	evolutionary biology	1	0
archaeology	history	77	5
archaeology	linguistics	40	14
archaeology	mathematics	27	24
archaeology	middle eastern studies	112	7
archaeology	molecular biology	95	22
archaeology	music	26	4
archaeology	neuroscience	396	35
archaeology	philosophy	0	0
archaeology	physics	45	17
archaeology	political science	5	1
archaeology	psychology	6	2
archaeology	sociology	0	0
archaeology	spanish literature	8	0
archaeology	statistics	14	3
art history	anthropology	77	107
art history	archaeology	22	46
art history	art history	88	104
art history	astronomy	42	116
art history	biochemistry	104	79
art history	chemistry	17	13
art history	classics	91	185
art history	communications	58	207
art history	comparative literature	81	10
art history	computer science	16	9
art history	earth sciences	17	3
art history	economics	128	46
art history	education	12	29
art history	engineering	86	68
art history	english literature	16	31
art history	evolutionary biology	8	37
art history	history	91	57
art history	linguistics	22	22
art history	mathematics	153	100
art history	middle eastern studies	115	154
art history	molecular biology	13	7
art history	music	56	76
art history	neuroscience	17	14
art history	philosophy	42	53
art history	physics	100	235
art history	political science	17	11
art history	psychology	10	33
art history	sociology	24	45
art history	spanish literature	23	18
art history	statistics	55	106
astronomy	anthropology	13	2
astronomy	archaeology	1	2
astronomy	art history	16	24
astronomy	astronomy	17	8
astronomy	biochemistry	13	2
astronomy	chemistry	334	47
astronomy	classics	18	11
astronomy	communications	11	4
astronomy	comparative literature	11	5
astronomy	computer science	4	0
astronomy	earth sciences	110	25
astronomy	economics	6	10
astronomy	education	461	45
astronomy	engineering	1	0
astronomy	english literature	127	7
astronomy	evolutionary biology	5	6
astronomy	history	8	14
astronomy	linguistics	13	2
astronomy	mathematics	37	11
astronomy	middle eastern studies	13	2
astronomy	molecular biology	3	1
astronomy	music	56	5
astronomy	neuroscience	478	63
astronomy	philosophy	43	16
astronomy	physics	84	7
astronomy	political science	1	0
astronomy	psychology	24	47
astronomy	sociology	17	4
astronomy	spanish literature	2	0
astronomy	statistics	38	21
biochemistry	anthropology	39	27
biochemistry	archaeology	134	99
biochemistry	art history	79	199
biochemistry	astronomy	67	28
biochemistry	biochemistry	63	34
biochemistry	chemistry	64	391
biochemistry	classics	144	203
biochemistry	communications	434	723
biochemistry	comparative literature	2	16
biochemistry	computer science	1	0
biochemistry	earth sciences	35	63
biochemistry	economics	3	7
biochemistry	education	52	333
biochemistry	engineering	79	62
biochemistry	english literature	9	13
biochemistry	evolutionary biology	51	83
biochemistry	history	16	48
biochemistry	linguistics	68	55
biochemistry	mathematics	129	183
biochemistry	middle eastern studies	13	73
biochemistry	molecular biology	237	156
biochemistry	music	128	194
biochemistry	neuroscience	9	11
biochemistry	philosophy	357	452
biochemistry	physics	69	47
biochemistry	political science	357	320
biochemistry	psychology	43	154
biochemistry	sociology	6	7
biochemistry	spanish literature	36	86
biochemistry	statistics	46	1
chemistry	anthropology	104	20
chemistry	archaeology	58	33
chemistry	art history	361	53
chemistry	astronomy	85	112
chemistry	biochemistry	290	20
chemistry	chemistry	120	57
chemistry	classics	34	14
chemistry	communications	29	52
chemistry	comparative literature	13	7
chemistry	computer science	102	28
chemistry	earth sciences	32	13
chemistry	economics	42	46
chemistry	education	118	221
chemistry	engineering	6	21
chemistry	english literature	23	23
chemistry	evolutionary biology	194	56
chemistry	history	106	58
chemistry	linguistics	244	40
chemistry	mathematics	6	0
chemistry	middle eastern studies	20	16
chemistry	molecular biology	64	54
chemistry	music	110	34
chemistry	neuroscience	38	20
chemistry	philosophy	9	11
chemistry	physics	29	40
chemistry	political science	361	112
chemistry	psychology	118	69
chemistry	sociology	22	23
chemistry	spanish literature	75	17
chemistry	statistics	55	8
classics	anthropology	0	6
classics	archaeology	9	14
classics	art history	2	10
classics	astronomy	7	9
classics	biochemistry	35	193
classics	chemistry	1	10
classics	classics	6	70
classics	communications	32	18
classics	comparative literature	75	119
classics	computer science	20	41
classics	earth sciences	356	247
classics	economics	23	4
classics	education	45	53
classics	engineering	3	36
classics	english literature	67	164
classics	evolutionary biology	32	6
classics	history	0	8
classics	linguistics	61	37
classics	mathematics	0	0
classics	middle eastern studies	0	1
classics	molecular biology	2	4
classics	music	2	2
classics	neuroscience	33	45
classics	philosophy	0	1
classics	physics	3	14
classics	political science	5	1
classics	psychology	55	132
classics	sociology	1	1
classics	spanish literature	5	3
classics	statistics	1	23
communications	anthropology	0	9
communications	archaeology	0	3
communications	art history	36	221
communications	astronomy	4	4
communications	biochemistry	6	4
communications	chemistry	42	340
communications	classics	0	1
communications	communications	1	3
communications	comparative literature	51	28
communications	computer science	4	8
communications	earth sciences	2	12
communications	economics	5	12
communications	education	3	22
communications	engineering	1	1
communications	english literature	14	50
communications	evolutionary biology	3	12
communications	history	3	16
communications	linguistics	6	8
communications	mathematics	2	5
communications	middle eastern studies	7	10
communications	molecular biology	61	12
communications	music	4	11
communications	neuroscience	16	16
communications	philosophy	1	5
communications	physics	3	19
communications	political science	21	23
communications	psychology	6	14
communications	sociology	0	13
communications	spanish literature	3	6
communications	statistics	1	2
comparative literature	anthropology	30	6
comparative literature	archaeology	63	101
comparative literature	art history	101	56
comparative literature	astronomy	50	35
comparative literature	biochemistry	74	51
comparative literature	chemistry	11	10
comparative literature	classics	189	126
comparative literature	communications	219	17
comparative literature	comparative literature	28	11
comparative literature	computer science	0	0
comparative literature	earth sciences	54	15
comparative literature	economics	109	163
comparative literature	education	28	4
comparative literature	engineering	88	102
comparative literature	english literature	229	88
comparative literature	evolutionary biology	161	109
comparative literature	history	3	17
comparative literature	linguistics	31	14
comparative literature	mathematics	13	13
comparative literature	middle eastern studies	162	29
comparative literature	molecular biology	65	38
comparative literature	music	11	67
comparative literature	neuroscience	65	191
comparative literature	philosophy	2	7
comparative literature	physics	61	130
comparative literature	political science	153	54
comparative literature	psychology	14	24
comparative literature	sociology	80	9
comparative literature	spanish literature	35	27
comparative literature	statistics	87	87
computer science	anthropology	32	19
computer science	archaeology	0	1
computer science	art history	104	18
computer science	astronomy	54	47
computer science	biochemistry	69	8
computer science	chemistry	94	68
computer science	classics	27	27
computer science	communications	7	0
computer science	comparative literature	665	23
computer science	computer science	0	0
computer science	earth sciences	137	25
computer science	economics	15	3
computer science	education	10	6
computer science	engineering	1	10
computer science	english literature	157	33
computer science	evolutionary biology	2	0
computer science	history	63	12
computer science	linguistics	0	0
computer science	mathematics	8	6
computer science	middle eastern studies	6	1
computer science	molecular biology	9	1
computer science	music	4	0
computer science	neuroscience	57	11
computer science	philosophy	58	10
computer science	physics	5	2
computer science	political science	42	12
computer science	psychology	22	23
computer science	sociology	13	6
computer science	spanish literature	36	36
computer science	statistics	20	17
earth sciences	anthropology	98	48
earth sciences	archaeology	44	20
earth sciences	art history	8	56
earth sciences	astronomy	1	0
earth sciences	biochemistry	81	37
earth sciences	chemistry	76	376
earth sciences	classics	65	121
earth sciences	communications	38	69
earth sciences	comparative literature	153	64
earth sciences	computer science	119	151
earth sciences	earth sciences	41	35
earth sciences	economics	1	0
earth sciences	education	48	100
earth sciences	engineering	86	161
earth sciences	english literature	4	17
earth sciences	evolutionary biology	11	51
earth sciences	history	50	68
earth sciences	linguistics	152	188
earth sciences	mathematics	1	5
earth sciences	middle eastern studies	265	17
earth sciences	molecular biology	96	178
earth sciences	music	19	21
earth sciences	neuroscience	28	10
earth sciences	philosophy	11	9
earth sciences	physics	38	21
earth sciences	political science	95	80
earth sciences	psychology	102	49
earth sciences	sociology	39	140
earth sciences	spanish literature	22	158
earth sciences	statistics	16	28
economics	anthropology	8	5
economics	archaeology	85	42
economics	art history	13	9
economics	astronomy	6	2
economics	biochemistry	45	22
economics	chemistry	3	1
economics	classics	5	2
economics	communications	0	0
economics	comparative literature	8	4
economics	computer science	16	2
economics	earth sciences	178	82
economics	economics	19	0
economics	education	248	76
economics	engineering	7	11
economics	english literature	13	12
economics	evolutionary biology	2	0
economics	history	22	3
economics	linguistics	13	1
economics	mathematics	41	8
economics	middle eastern studies	78	15
economics	molecular biology	1	0
economics	music	3	0
economics	neuroscience	43	2
economics	philosophy	7	5
economics	physics	6	0
economics	political science	8	2
economics	psychology	24	5
economics	sociology	1	3
economics	spanish literature	8	0
economics	statistics	11	0
education	anthropology	219	136
education	archaeology	204	91
education	art history	107	121
education	astronomy	4	16
education	biochemistry	38	124
education	chemistry	31	33
education	classics	38	49
education	communications	1	6
education	comparative literature	200	322
education	computer science	95	19
education	earth sciences	23	22
education	economics	500	222
education	education	16	64
education	engineering	19	10
education	english literature	194	223
education	evolutionary biology	247	280
education	history	85	180
education	linguistics	197	192
education	mathematics	80	140
education	middle eastern studies	6	13
