field	covariate
anthropology	4.27518540516631
archaeology	4.705521032283505
art history	3.1967458243623574
astronomy	4.022558510197345
biochemistry	4.332739710119073
chemistry	3.2490329149453805
classics	4.606329576937286
communications	4.787487106843031
comparative literature	4.548464766601703
computer science	4.4171343970752135
earth sciences	3.480026997250945
economics	4.45335564118367
education	2.3460457667644907
engineering	2.744533061448995
english literature	2.3360880408021494
evolutionary biology	4.233655747707242
history	4.033257027278522
linguistics	2.2722554387034264
mathematics	3.2265442238667252
middle eastern studies	3.62197874028695
molecular biology	3.781020652937708
music	2.681073178989133
neuroscience	3.2978259892118738
philosophy	2.839891029446817
physics	4.026371196573594
political science	2.743110233879947
psychology	2.9675294362937286
sociology	4.3305144762518895
spanish literature	2.142150935534547
statistics	3.1159261783911614
